YEAR,MONTH,MONTH_CATEGORY,WEEK,DAY_CATEGORY,AGE_BUCKET,GENDER,RACE,PROVINCE,TOTAL_RECORDS,TOTAL_VIEWTIME_MINUTES,TOTAL_VIEWTIME_HOURS,AVG_VIEWTIME_MINUTES,AVG_VIEWTIME_HOURS
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,None,NorthernCape,2,17,0.28,8.5,0.14
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,None,WesternCape,4,40,0.67,10,0.17
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,EasternCape,8,42,0.7,5.25,0.09
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,FreeState,2,12,0.2,6,0.1
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,Gauteng,62,342,5.7,5.52,0.09
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,KwazuluNatal,20,202,3.37,10.1,0.17
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,Limpopo,14,102,1.7,7.29,0.12
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,Mpumalanga,36,306,5.1,8.5,0.14
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,NorthWest,12,70,1.17,5.83,0.1
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,NorthernCape,2,2,0.03,1,0.02
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,black,WesternCape,11,60,1,5.45,0.09
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,EasternCape,4,34,0.57,8.5,0.14
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,FreeState,3,1,0.02,0.33,0.01
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,Gauteng,7,19,0.32,2.71,0.05
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,Limpopo,2,5,0.08,2.5,0.04
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,NorthernCape,6,26,0.43,4.33,0.07
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,coloured,WesternCape,24,133,2.22,5.54,0.09
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,EasternCape,1,5,0.08,5,0.08
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,FreeState,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,Gauteng,8,15,0.25,1.88,0.03
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,KwazuluNatal,9,27,0.45,3,0.05
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,Limpopo,5,18,0.3,3.6,0.06
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,Mpumalanga,1,0,0,0,0
2016,Feb,Normal_month,5,Weekday,Young Adulthood,male,indian_asian,WesternCape,1,9,0.15,9,0.15
